x1,x2,class
7.13,1.74,3
11.00,0.61,3
-2.15,-0.07,2
-2.24,-0.55,2
-3.10,2.06,0
0.91,-0.86,2
1.12,-1.69,2
-0.56,2.24,0
11.85,6.02,1
9.54,5.57,1
11.84,6.83,1
11.32,0.58,3
1.74,0.96,2
-1.80,2.58,0
-0.74,-1.96,2
1.11,0.44,2
1.84,-1.18,2
-2.30,2.76,0
11.12,6.53,1
13.03,5.71,1
11.17,7.51,1
-0.59,-2.04,2
12.90,0.56,3
12.07,0.72,3
1.86,-1.87,2
1.93,-1.48,2
12.25,6.71,1
11.69,0.74,3
2.71,0.35,2
10.59,5.71,1
9.22,5.62,1
-0.25,2.11,0
11.18,7.20,1
-1.56,3.73,0
-1.70,1.62,0
9.82,3.17,3
-4.87,1.32,0
-1.06,-2.38,2
10.45,0.25,3
9.68,5.93,1
15.16,6.52,1
1.18,0.06,2
9.79,0.08,3
-2.35,3.83,0
-2.89,3.00,0
8.39,0.92,3
11.54,1.40,3
13.23,-0.63,3
-1.10,2.69,0
0.86,-2.40,2
